"name","id","genres","collaborators"
"Lil Durk","3hcs9uc56yIGFCSy9leWe7","chicago drill, drill","21 Savage, A Boogie Wit da Hoodie, Don Toliver, Drake, Future, Gucci Mane, Gunna, Jhené Aiko, Kanye West, Key Glock, King Von, Kodak Black, Lil Baby, Lil Tjay, Lil Yachty, Meek Mill, Metro Boomin, Migos, Moneybagg Yo, Mustard, NLE Choppa, Polo G, Pooh Shiesty, Quavo, Tee Grizzley, Travis Scott, Young Dolph, Young Thug"
"Lil Tecca","4Ga1P7PMIsmqEZqhYZQgDo","melodic rap, rap","A Boogie Wit da Hoodie, Don Toliver, Gunna, Kodak Black, Lil Durk, Lil Tjay, Lil Uzi Vert, Lil Yachty, NAV, Polo G"
"Lil Tjay","6jGMq4yGs7aQzuGsMgVgZR","brooklyn drill, melodic rap","42 Dugg, D-Block Europe, Lil Baby, Lil Durk, Lil Tecca, Moneybagg Yo, NLE Choppa, Offset, Polo G, Pop Smoke, Rich The Kid, Sheff G"
"Lil Uzi Vert","4O15NlyKLIASxsJ0PrXPfz","melodic rap","21 Savage, 42 Dugg, Don Toliver, Future, Gucci Mane, Gunna, HoodRich Pablo Juan, Kanye West, Lil Durk, Meek Mill, NAV, Offset, Playboi Carti, Pooh Shiesty, Quavo, The Weeknd, Travis Scott, Young Nudy, Young Thug"
"Lil Yachty","6icQOAFXDZKsumw3YXyusw","","A$AP Rocky, DaBaby, Drake, Future, Gucci Mane, Gunna, Kodak Black, Lil Baby, Lil Durk, Lil Tecca, Migos, Offset, Playboi Carti, Quality Control, Quavo, Southside, Tame Impala, Tee Grizzley, Tm88, Tyler, The Creator, Young Nudy, Young Thug"
"limly","1lv5lu5VRmHIsFz006l5rF","edm",NA
"Local Natives","75dQReiBOHN37fQgWQrIAJ","",NA
"Mac DeMarco","3Sz7ZnJQBIHsXLUSo0OQtM","indie",NA
"MadeinTYO","5SyGEPymt1G2uto47tVWvZ","","Blood Orange, Gunna, Key Glock, Tm88, Travis Scott, Young Nudy"
"Markus Pawlik","7tTCdjIEm4DHFxgquKT18a","classical","Antoni Wit, Moritz Moszkowski, Polish National Radio Symphony Orchestra"
"Masego","3ycxRkcZ67ALN3GQJ57Vig","","DJ Candlestick, Don Toliver, Freddie Gibbs, Tiffany Gouché"
"Matt Maltese","12j6dJrPXanCBwY599pZxf","indie",NA
"Meek Mill","20sxb77xiYeusSH8cVdatc","rap","21 Savage, 42 Dugg, A Boogie Wit da Hoodie, Brent Faiyaz, Drake, Ed Sheeran, Future, Kendrick Lamar, Kodak Black, Lil Baby, Lil Durk, Lil Uzi Vert, Moneybagg Yo, Quavo, Tee Grizzley, The Weeknd, Tory Lanez, Travis Scott, Young Stoner Life, Young Thug"
"Men I Trust","3zmfs9cQwzJl575W1ZYXeT","bedroom pop, indie pop",NA
"Metro Boomin","0iEtIxbK0KxaSlF7G42ZOp","","21 Savage, A Boogie Wit da Hoodie, A$AP Rocky, DJ Candlestick, Don Toliver, Drake, Future, Gucci Mane, Gunna, Kendrick Lamar, Kodak Black, Lil Baby, Lil Durk, Lil Uzi Vert, NAV, Offset, Playboi Carti, Quavo, The Weeknd, Travis Scott, Young Nudy, Young Thug"
"Michael Jackson","3fMbdgg4jU18AjLCKBhRSm","","Kanye West"
"Migos","6oMuImdp5ZcFhWP0ESe6mG","trap","21 Savage, Calvin Harris, DaBaby, Drake, Frank Ocean, Future, Gucci Mane, HoodRich Pablo Juan, Lil Durk, Lil Uzi Vert, Lil Yachty, Mustard, Offset, Polo G, Pop Smoke, Quality Control, Quavo, Rich The Kid, Travis Scott, Young Dolph, Young Thug"
"Miriam Keogh","6tIWNVs4HVdJCZai0rxYr4","indie","Camille Saint-Saëns, Frédéric Chopin, Gabriel Fauré, None, Sebastian Comberti"
"Mitski","2uYWxilOVlUdk4oV9DvwqK","alt",NA
"Moby","3OsRAKCvk37zwYcnzRf5XF","downtempo, trip hop",NA
"Moderat","2exkZbmNqMKnT8LRWuxWgy","idm, electronica",NA
"Mojave 3","4jSYHcSo85heWskYvAULio","slowcore, dream pop, shoegaze",NA
"Molchat Doma","1nVq0hKIVReeaiB3xJgKf0","rock",NA
"Moneybagg Yo","3tJoFztHeIJkJWMrx0td2f","","42 Dugg, A Boogie Wit da Hoodie, BlocBoy JB, DaBaby, Freddie Gibbs, Future, Gunna, Jhené Aiko, King Von, Kodak Black, Lil Baby, Lil Durk, Lil Tjay, Meek Mill, NLE Choppa, Offset, Polo G, Pooh Shiesty, Quality Control, Quavo, Rich The Kid, Southside, Tee Grizzley, Tm88, Young Dolph, Young Thug"
"Moritz Moszkowski","5x2Ufw4gSPVw4TNcGCpFT1","classical","Antoni Wit, Frédéric Chopin, Johannes Brahms, Markus Pawlik, Polish National Radio Symphony Orchestra"
"muna","4URLjSfWtdArslMrlA5suJ","",NA
"Mustard","0YinUQ50QDB7ZxSCLyQ40k","","42 Dugg, A Boogie Wit da Hoodie, A$AP Rocky, Don Toliver, Future, Gunna, Kodak Black, Lil Durk, Lil Yachty, Masego, Meek Mill, Migos, NAV, Playboi Carti, Quavo, Rich The Kid, Travis Scott, Young Thug"
