id,name,popularity,followers,genres,user,detected category
4Gso3d4CscCijv0lmajZWs,Don Toliver,86,7630205,"melodic rap, rap, trap",M,Hip Hop/Rap
4LEiUm1SRbFMgfqnQTwUbQ,Bon Iver,77,3957626,"experimental pop, indie folk",C,Folk
4MXUO7sVCaFgFjoTI5ox5c,Sufjan Stevens,72,2379221,"baroque pop, indie",I,Alternative/Indie
4MdQ9btIlh6rzIMA19tu3L,Joanne Robertson,48,41805,art pop,C,Pop
4O15NlyKLIASxsJ0PrXPfz,Lil Uzi Vert,84,19379652,melodic rap,M,Hip Hop/Rap
4OrizGCKhOrW6iDDJHN9xd,DIIV,48,413862,"dream pop, shoegaze",C,Pop; Rock/Metal
4TEJudQY2pXxVHPE3gD2EU,BlocBoy JB,55,1439605,"southern hip hop, trap",M,Hip Hop/Rap
4URLjSfWtdArslMrlA5suJ,muna,32,4784,"alt pop, indie pop",M,Pop
4Uc8Dsxct0oMqx0P6i60ea,Conan Gray,81,12532269,indie,I,Alternative/Indie
4V8LLVI7PbaPR0K2TGSxFF,"Tyler, The Creator",88,24805879,rap,I,Hip Hop/Rap
4Z8W4fKeB5YxbusRsdQVPb,Radiohead,87,14172116,"alt, alternative rock, art rock","I, C",Alternative/Indie; Rock/Metal
4Zjxd2hv7Hb8zJMIy8A1TM,German Error Message,41,43220,"ambient folk, lo-fi indie, slowcore",C,Alternative/Indie
4g2EfgpanE2Z9LG1nQ9zNy,Varg²™,41,53675,"experimental, hyperpop",I,Electronic; Pop
4g6EnIPhmYBTZ7vsmxDkxH,Downstait,47,54807,"alternative metal, hard rock",M,Alternative/Indie; Rock/Metal
4gzpq5DPGxSnKTe4SA8HAU,Coldplay,90,61329594,"alternative rock, pop rock","M, C",Alternative/Indie; Rock/Metal
4jSYHcSo85heWskYvAULio,Mojave 3,48,185382,"dream pop, shoegaze, slowcore",C,Pop; Rock/Metal
4kSGbjWGxTchKpIxXPJv0B,Crumb,58,667420,"alt, bedroom pop, neo-psychedelic",I,Alternative/Indie; Pop
4kZt5tLRG8CuE2xmhO9k2r,Felipe Da Don,10,9073,"latin hip hop, latin trap",M,Hip Hop/Rap; International
4r63FhuTkUYltbVAg5TQnk,DaBaby,78,13019578,"rap, trap",M,Hip Hop/Rap
4tX2TplrkIP4v05BNC903e,Tom Petty and the Heartbreakers,69,3113880,classic rock,C,Rock/Metal
4wyNyxs74Ux8UIDopNjIai,King Krule,61,970891,"indie, jazz rock, post-punk jazz",C,Alternative/Indie
50co4Is1HCEo8bhOyUWKpn,Young Thug,85,12525778,"melodic rap, rap, trap",M,Hip Hop/Rap
56ZTgzPBDge0OvCGgMO3OY,Beach House,73,2841042,"dream pop, pop","I, C",Pop
56dO9zeHKuU5Gvfc2kxHNw,Chevelle,70,2195715,"alternative metal, nu metal, post-grunge",C,Alternative/Indie; Rock/Metal
579LsvZcRVKtToYjS0tkKz,Big Scarr,60,642414,"southern hip hop, trap",M,Hip Hop/Rap
57DlMWmbVIf2ssJ8QBpBau,Toby Fox,75,2141296,"edm, soundtrack",I,Electronic; Other
57vWImR43h4CaDao012Ofp,Steve Lacy,79,6521000,indie,"I, C",Alternative/Indie
5AyEXCtu3xnnsTGCo4RVZh,Duster,64,1273182,"edm, shoegaze, slowcore","I, C",Electronic; Rock/Metal
5CFSYjc0PAiQvndFjafabk,Dean Blunt,66,465826,art pop,C,Pop
5D2pVmcsajqTCO3czYdzrF,PaperRoute Woo,49,21952,"brooklyn drill, drill",M,Hip Hop/Rap
