name,id.x,popularity,followers,user,id.y,collaborators,genre,record_label
Duster,5AyEXCtu3xnnsTGCo4RVZh,64,1273182,"I, C",5AyEXCtu3xnnsTGCo4RVZh,,"edm, shoegaze, slowcore",Numero Group
Earl Sweatshirt,3A5tHz1SfngyOZM2gItYKu,69,2399446,I,3A5tHz1SfngyOZM2gItYKu,"Frank Ocean, The Alchemist, Tyler, The Creator","alternative hip hop, experimental hip hop, hiphop","Tan Cressida/Columbia, Warner Records"
Ecco2k,6hG0VsXXlD10l60TqiIHIX,61,352318,I,6hG0VsXXlD10l60TqiIHIX,"Bladee, Nation, Thaiboy Digital, Yung Lean","cloud rap, hyperpop",YEAR0001
Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,90,123345894,M,6eUKZXaKkcviH0Ku9w2n3V,"A Boogie Wit da Hoodie, Central Cee, D-Block Europe, Dave, Eminem, Joel Corry, Lil Baby, Meek Mill, Tiësto, Travis Scott, Young Thug",soft pop,"Atlantic Records UK, Gingerbread Man Records, Gingerbread Man Records / Atlantic Records UK"
EDEN,1t20wYnTiAT0Bs7H1hv9Wt,61,1006702,I,1t20wYnTiAT0Bs7H1hv9Wt,,alt,"EDEN-Astralwerks, MCMXCV, MCMXCV (EDEN), MCMXCV LTD."
ElGrandeToto,4BFLElxtBEdsdwGA1kHTsx,70,4483357,M,4BFLElxtBEdsdwGA1kHTsx,CKay,"arabic hip hop, moroccan pop, moroccan rap","BNJ CITY BLOCK, ElGrandeToto"
Ella Fitzgerald,5V0MlUE1Bft0mbLlND7FJz,73,2742990,I,5V0MlUE1Bft0mbLlND7FJz,,"big band, christmas, jazz, jazz blues, swing music, vocal, vocal jazz","Diggers Factory, MC - Music Central, Mouton Recordings, Primary Wave Music, The Moment of Truth, UME - Global Clearing House, Verve, WTM CLASSIC"
Elliott Smith,2ApaG60P4r0yhBoDCGD8YG,67,1363385,I,2ApaG60P4r0yhBoDCGD8YG,,"indie, singer-songwriter","DreamWorks, Geffen, Kill Rock Stars"
Eminem,7dGJo4pcD2V6oG8kP0tJRR,90,105324431,M,7dGJo4pcD2V6oG8kP0tJRR,"DJ Premier, Don Toliver, Drake, Ed Sheeran, Kanye West, Kendrick Lamar, Polo G","hip hop, rap","Eminem Catalog PS, Shady/Aftermath/Interscope Records"
empire! empire! (i was a lonely estate),3IaqcRr2teHDEqhRE5emu9,34,53051,C,3IaqcRr2teHDEqhRE5emu9,,"emo, math rock, midwest emo, screamo","Count Your Lucky Stars, Empire! Empire! (I Was a Lonely Estate)"
